CAS,Name,ProductNumber,sigmaURL,sds,Pictograms,Hazards,Precautions,PPE
90076-65-6,Bis(trifluoromethane)sulfonimide lithium salt,544094,https://www.sigmaaldrich.com/GB/en/product/aldrich/544094,https://www.sigmaaldrich.com/GB/en/sds/sial/544094,"{'GHS05': 'Compressed Gas', 'GHS06': 'Toxic', 'GHS08': 'Health hazard'}","{'H301': 'Toxic if swallowed.', 'H311': 'Toxic in contact with skin', 'H314': 'Causes severe skin burns and eye damage.', 'H373': 'Causes damage to organs through prolonged or repeated exposure.', 'H412': 'Harmful to aquatic life with long lasting effects.'}","{'P260': 'Do not breathe dust/fume/gas/mist/vapors/spray.', 'P273': 'Avoid release to the environment.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P303': 'IF ON SKIN (or hair):', 'P361': 'Remove/Take off immediately all contaminated clothing.', 'P353': 'Rinse skin with water/shower.', 'P304': 'IF INHALED:', 'P340': 'Remove victim to fresh air and keep at rest in a position comfortable for breathing.', 'P310': 'Immediately call a POISON CENTER or doctor/physician.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
21324-40-3,Lithium hexafluorophosphate solution,746711,https://www.sigmaaldrich.com/GB/en/product/aldrich/746711,https://www.sigmaaldrich.com/GB/en/sds/sial/746711,"{'GHS02': 'Flammable', 'GHS07': 'Harmful', 'GHS08': 'Health hazard'}","{'H226': 'Flammable liquid and vapor.', 'H302': 'Harmful if swallowed.', 'H315': 'Causes skin irritation.', 'H319': 'Causes serious eye irritation.', 'H372': 'Causes damage to organs through prolonged or repeated exposure.', 'H373': 'Causes damage to organs through prolonged or repeated exposure.'}","{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P233': 'Keep container tightly closed.', 'P301': 'IF SWALLOWED:', 'P312': 'Call a POISON CENTER or doctor/physician if you feel unwell.', 'P303': 'IF ON SKIN (or hair):', 'P361': 'Remove/Take off immediately all contaminated clothing.', 'P353': 'Rinse skin with water/shower.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.', 'P314': 'Get medical advice/attention if you feel unwell.'}",
7439-93-2,Lithium,499811,https://www.sigmaaldrich.com/GB/en/product/aldrich/499811,https://www.sigmaaldrich.com/GB/en/sds/sial/499811,"{'GHS02': 'Flammable', 'GHS05': 'Compressed Gas'}","{'H260': 'In contact with water releases flammable gases which may ignite spontaneously.', 'H314': 'Causes severe skin burns and eye damage.'}","{'P223': 'Keep away from any possible contact with water, because of violent reaction and possible flash fire.', 'P231': 'Handle under inert gas.', 'P232': 'Protect from moisture.', 'P260': 'Do not breathe dust/fume/gas/mist/vapors/spray.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P303': 'IF ON SKIN (or hair):', 'P361': 'Remove/Take off immediately all contaminated clothing.', 'P353': 'Rinse skin with water/shower.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
108-32-7,Propylene carbonate,310328,https://www.sigmaaldrich.com/GB/en/product/sial/310328,https://www.sigmaaldrich.com/GB/en/sds/sial/310328,{'GHS07': 'Harmful'},{'H319': 'Causes serious eye irritation.'},"{'P264': 'Wash skin thoroughly after handling.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.', 'P337': 'If eye irritation persists:', 'P313': 'Get medical advice/attention.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
623-53-0,Ethyl methyl carbonate,754935,https://www.sigmaaldrich.com/GB/en/product/aldrich/754935,https://www.sigmaaldrich.com/GB/en/sds/sial/754935,{'GHS02': 'Flammable'},{'H225': 'Highly Flammable liquid and vapor.'},{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.'},
616-38-6,Dimethyl carbonate,517127,https://www.sigmaaldrich.com/GB/en/product/sial/517127,https://www.sigmaaldrich.com/GB/en/sds/sial/517127,{'GHS02': 'Flammable'},{'H225': 'Highly Flammable liquid and vapor.'},"{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P233': 'Keep container tightly closed.', 'P240': 'Ground/bond container and receiving equipment.', 'P241': 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'P242': 'Use only non-sparking tools.', 'P243': 'Take precautionary measures against static discharge.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
105-58-8,Diethyl carbonate,d91551,https://www.sigmaaldrich.com/GB/en/product/aldrich/d91551,https://www.sigmaaldrich.com/GB/en/sds/sial/d91551,{'GHS02': 'Flammable'},{'H226': 'Flammable liquid and vapor.'},"{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P233': 'Keep container tightly closed.', 'P240': 'Ground/bond container and receiving equipment.', 'P241': 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'P242': 'Use only non-sparking tools.', 'P243': 'Take precautionary measures against static discharge.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
67-63-0,2-Propanol,i9516,https://www.sigmaaldrich.com/GB/en/product/sigma/i9516,https://www.sigmaaldrich.com/GB/en/sds/sial/i9516,"{'GHS02': 'Flammable', 'GHS07': 'Harmful'}","{'H225': 'Highly Flammable liquid and vapor.', 'H319': 'Causes serious eye irritation.', 'H336': 'May cause drowsiness or dizziness.'}","{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P233': 'Keep container tightly closed.', 'P240': 'Ground/bond container and receiving equipment.', 'P241': 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'P242': 'Use only non-sparking tools.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
67-64-1,Acetone,179124,https://www.sigmaaldrich.com/GB/en/product/sigald/179124,https://www.sigmaaldrich.com/GB/en/sds/sial/179124,"{'GHS02': 'Flammable', 'GHS07': 'Harmful'}","{'H225': 'Highly Flammable liquid and vapor.', 'H319': 'Causes serious eye irritation.', 'H336': 'May cause drowsiness or dizziness.'}","{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P233': 'Keep container tightly closed.', 'P240': 'Ground/bond container and receiving equipment.', 'P241': 'Use explosion-proof electrical/ventilating/lighting/.../equipment.', 'P242': 'Use only non-sparking tools.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.'}",
7732-18-5,Water,w4502,https://www.sigmaaldrich.com/GB/en/product/sigma/w4502,https://www.sigmaaldrich.com/GB/en/sds/sial/w4502,,,,"['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
7722-64-7,Potassium permanganate,223468,https://www.sigmaaldrich.com/GB/en/product/sigald/223468,https://www.sigmaaldrich.com/GB/en/sds/sial/223468,"{'GHS03': 'Oxidizing', 'GHS05': 'Compressed Gas', 'GHS07': 'Harmful', 'GHS08': 'Health hazard', 'GHS09': 'Environmental hazard'}","{'H272': 'May intensify fire; oxidizer.', 'H302': 'Harmful if swallowed.', 'H314': 'Causes severe skin burns and eye damage.', 'H361d': 'Suspected of damaging the unborn child.', 'H373': 'Causes damage to organs through prolonged or repeated exposure.', 'H410': 'Very toxic to aquatic life with long lasting effects.'}","{'P210': 'Keep away from heat/sparks/open flames/hot surfaces. No smoking.', 'P260': 'Do not breathe dust/fume/gas/mist/vapors/spray.', 'P273': 'Avoid release to the environment.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P303': 'IF ON SKIN (or hair):', 'P361': 'Remove/Take off immediately all contaminated clothing.', 'P353': 'Rinse skin with water/shower.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.'}",
7664-93-9,Sulfuric acid,258105,https://www.sigmaaldrich.com/GB/en/product/sigald/258105,https://www.sigmaaldrich.com/GB/en/sds/sial/258105,{'GHS05': 'Compressed Gas'},"{'H290': 'May be corrosive to metals.', 'H314': 'Causes severe skin burns and eye damage.'}","{'P234': 'Keep only in original container.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P303': 'IF ON SKIN (or hair):', 'P361': 'Remove/Take off immediately all contaminated clothing.', 'P353': 'Rinse skin with water/shower.', 'P304': 'IF INHALED:', 'P340': 'Remove victim to fresh air and keep at rest in a position comfortable for breathing.', 'P310': 'Immediately call a POISON CENTER or doctor/physician.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.', 'P363': 'Wash contaminated clothing before reuse.'}",
7722-84-1,Hydrogen peroxide solution,h1009,https://www.sigmaaldrich.com/GB/en/product/sigma/h1009,https://www.sigmaaldrich.com/GB/en/sds/sial/h1009,{'GHS05': 'Compressed Gas'},"{'H318': 'Causes serious eye damage.', 'H412': 'Harmful to aquatic life with long lasting effects.'}","{'P273': 'Avoid release to the environment.', 'P280': 'Wear protective gloves/protective clothing/eye protection/face protection.', 'P305': 'IF IN EYES:', 'P351': 'Rinse cautiously with water for several minutes.', 'P338': 'Remove contact lenses, if present and easy to do. Continue rinsing.', 'P501': 'Dispose of contents/container to ...'}","['dust mask type N95 (US)', 'Eyeshields', 'Gloves']"
